Title, Genre, Year, Ratings, BoxOffice, Poster, Awards, Actors
Citizen Kane,Drama/Mystery,1941,100%,N/A,https://m.media-amazon.com/images/M/MV5BYjBiOTYxZWItMzdiZi00NjlkLWIzZTYtYmFhZjhiMTljOTdkXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,Won 1 Oscar. Another 9 wins & 13 nominations.,Joseph Cotten. Dorothy Comingore. Agnes Moorehead. Ruth Warrick
All About Eve,Drama,1950,100%,N/A,https://m.media-amazon.com/images/M/MV5BMTY2MTAzODI5NV5BMl5BanBnXkFtZTgwMjM4NzQ0MjE@._V1_SX300.jpg,Won 6 Oscars. Another 17 wins & 17 nominations.,Bette Davis. Anne Baxter. George Sanders. Celeste Holm
Modern Times,Comedy/Drama/Family,1936,100%,N/A,https://m.media-amazon.com/images/M/MV5BYjJiZjMzYzktNjU0NS00OTkxLWEwYzItYzdhYWJjN2QzMTRlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,4 wins & 1 nomination.,Paulette Goddard. Henry Bergman. Tiny Sandford
Singin' in the Rain,Comedy/Musical/Romance,1952,100%,N/A,https://m.media-amazon.com/images/M/MV5BMWUyNjQ5MTAtNDJhYS00MWQ0LTk2ZTAtZmE4MWNlMjMwMzg3XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SX300.jpg,Nominated for 2 Oscars. Another 5 wins & 7 nominations.,Gene Kelly. Donald O'Connor. Debbie Reynolds. Jean Hagen
Laura,Drama/Film-Noir/Mystery,1944,100%,N/A,https://m.media-amazon.com/images/M/MV5BYWQ0MmRiMjMtM2Y1MC00MTYwLWI4YzktOGI0MjdiNzJlZDc3L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,Won 1 Oscar. Another 2 wins & 4 nominations.,Gene Tierney. Dana Andrews. Clifton Webb. Vincent Price
The Maltese Falcon,Film-Noir/Mystery,1941,100%,N/A,https://m.media-amazon.com/images/M/MV5BZjIwNGM1ZTUtOThjYS00NDdiLTk2ZDYtNGY5YjJkNzliM2JjL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg,Nominated for 3 Oscars. Another 4 wins.,Humphrey Bogart. Mary Astor. Gladys George. Peter Lorre
Repulsion,Drama/Horror/Thriller,1965,100%,N/A,https://m.media-amazon.com/images/M/MV5BZTU5ZThjNzAtNjc4NC00OTViLWIxYTYtODFmMTk5Y2NjZjZiL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,Nominated for 1 BAFTA Film Award. Another 2 wins & 3 nominations.,Catherine Deneuve. Ian Hendry. John Fraser. Yvonne Furneaux
The Adventures of Robin Hood,Action/Adventure/Romance,1938,100%,N/A,https://m.media-amazon.com/images/M/MV5BYjZjOTU3MTMtYTM5YS00YjZmLThmNmMtODcwOTM1NmRiMWM2XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,Won 3 Oscars. Another 3 wins & 2 nominations.,Errol Flynn. Olivia de Havilland. Basil Rathbone. Claude Rains
Rear Window,Mystery/Thriller,1954,100%,N/A,https://m.media-amazon.com/images/M/MV5BNGUxYWM3M2MtMGM3Mi00ZmRiLWE0NGQtZjE5ODI2OTJhNTU0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Nominated for 4 Oscars. Another 6 wins & 8 nominations.,James Stewart. Grace Kelly. Wendell Corey. Thelma Ritter
The Philadelphia Story,Comedy/Romance,1940,100%,N/A,https://m.media-amazon.com/images/M/MV5BYjQ4ZDA4NGMtMTkwYi00NThiLThhZDUtZTEzNTAxOWYyY2E4XkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_SX300.jpg,Won 2 Oscars. Another 3 wins & 5 nominations.,Cary Grant. Katharine Hepburn. James Stewart. Ruth Hussey
Toy Story 2,Animation/Adventure/Comedy/Family/Fantasy,1999,100%,N/A,https://m.media-amazon.com/images/M/MV5BMWM5ZDcxMTYtNTEyNS00MDRkLWI3YTItNThmMGExMWY4NDIwXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_SX300.jpg,Nominated for 1 Oscar. Another 20 wins & 26 nominations.,Tom Hanks. Tim Allen. Joan Cusack. Kelsey Grammer
M,Crime/Mystery/Thriller,1931,100%,$17 599,https://m.media-amazon.com/images/M/MV5BODA4ODk3OTEzMF5BMl5BanBnXkFtZTgwMTQ2ODMwMzE@._V1_SX300.jpg,2 wins.,Peter Lorre. Ellen Widmann. Inge Landgut. Otto Wernicke
All Quiet on the Western Front,Drama/War,1930,100%,N/A,https://m.media-amazon.com/images/M/MV5BOWU1MTUwZTAtMjQ3MS00NDVhLTkzOTgtZmU2MTk0ZjhhZTc3XkEyXkFqcGdeQXVyMzg2MzE2OTE@._V1_SX300.jpg,Won 2 Oscars. Another 5 wins & 2 nominations.,Louis Wolheim. Lew Ayres. John Wray. Arnold Lucy
The Treasure of the Sierra Madre,Adventure/Drama/Western,1948,100%,N/A,https://m.media-amazon.com/images/M/MV5BOTJlZWMxYzEtMjlkMS00ODE0LThlM2ItMDI3NGQ2YjhmMzkxXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg,Won 3 Oscars. Another 12 wins & 5 nominations.,Humphrey Bogart. Walter Huston. Tim Holt. Bruce Bennett
Rebecca,Drama/Mystery/Romance/Thriller,1940,100%,N/A,https://m.media-amazon.com/images/M/MV5BYTcxYWExOTMtMWFmYy00ZjgzLWI0YjktNWEzYzJkZTg0NDdmL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,Won 2 Oscars. Another 4 wins & 10 nominations.,Laurence Olivier. Joan Fontaine. George Sanders. Judith Anderson
Frankenstein,Drama/Horror/Sci-Fi,1931,100%,N/A,https://m.media-amazon.com/images/M/MV5BM2RiNjU2MTktZmY1MC00ZGUxLThkNGEtMGUwMWQwMjIyMWNjL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,4 wins & 3 nominations.,Colin Clive. Mae Clarke. John Boles. Boris Karloff
Pinocchio,Animation/Comedy/Family/Fantasy/Musical,1940,100%,N/A,https://m.media-amazon.com/images/M/MV5BMTU4Mzk3ODIyOF5BMl5BanBnXkFtZTgwODgyNzk2NjE@._V1_SX300.jpg,Won 2 Oscars. Another 4 wins.,Mel Blanc. Don Brodie. Stuart Buchanan. Walter Catlett
The Wages of Fear,Adventure/Drama/Thriller,1953,100%,N/A,https://m.media-amazon.com/images/M/MV5BZDdkNzMwZmUtY2Q5MS00ZmM2LWJhYjItYTBjMWY0MGM4MDRjXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SX300.jpg,Won 1 BAFTA Film Award. Another 5 wins.,Yves Montand. Charles Vanel. Folco Lulli. Peter van Eyck
The Grapes of Wrath,Drama/History,1940,100%,N/A,https://m.media-amazon.com/images/M/MV5BNzJiOGI2MjctYjUyMS00ZjkzLWE2ZmUtOTg4NTZkOTNhZDc1L2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,Won 2 Oscars. Another 9 wins & 5 nominations.,Henry Fonda. Jane Darwell. John Carradine. Charley Grapewin
The Last Picture Show,Drama,1971,100%,N/A,https://m.media-amazon.com/images/M/MV5BNmVjNzZkZjQtYmM5ZC00M2I0LWJhNzktNDk3MGU1NWMxMjFjXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,Won 2 Oscars. Another 16 wins & 22 nominations.,Timothy Bottoms. Jeff Bridges. Cybill Shepherd. Ben Johnson
Get Out,Horror/Mystery/Thriller,2017,99%,$175 428 355,https://m.media-amazon.com/images/M/MV5BMjUxMDQwNjcyNl5BMl5BanBnXkFtZTgwNzcwMzc0MTI@._V1_SX300.jpg,Won 1 Oscar. Another 122 wins & 181 nominations.,Daniel Kaluuya. Allison Williams. Catherine Keener. Bradley Whitford
The Third Man,Film-Noir/Mystery/Thriller,1949,99%,N/A,https://m.media-amazon.com/images/M/MV5BYjE2OTdhMWUtOGJlMy00ZDViLWIzZjgtYjZkZGZmMDZjYmEyXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,Won 1 Oscar. Another 4 wins & 4 nominations.,Joseph Cotten. Alida Valli. Orson Welles. Trevor Howard
Metropolis,Drama/Sci-Fi,1927,99%,$529 603,https://m.media-amazon.com/images/M/MV5BMTg5YWIyMWUtZDY5My00Zjc1LTljOTctYmI0MWRmY2M2NmRkXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,6 wins & 5 nominations.,Alfred Abel. Gustav Fröhlich. Rudolf Klein-Rogge. Fritz Rasp
Selma,Biography/Drama/History,2014,99%,N/A,https://m.media-amazon.com/images/M/MV5BZGZkNzFkYTgtYTBkZC00M2MzLWJhNzUtMGE4YzRhYmU2Zjg0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Won 1 Oscar. Another 58 wins & 88 nominations.,David Oyelowo. Carmen Ejogo. Jim France
North by Northwest,Adventure/Mystery/Thriller,1959,99%,N/A,https://m.media-amazon.com/images/M/MV5BZDA3NDExMTUtMDlhOC00MmQ5LWExZGUtYmI1NGVlZWI4OWNiXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,Nominated for 3 Oscars. Another 8 wins & 4 nominations.,Cary Grant. Eva Marie Saint. James Mason. Jessie Royce Landis
Toy Story 3,Animation/Adventure/Comedy/Family/Fantasy,2010,99%,$414 984 497,https://m.media-amazon.com/images/M/MV5BMTgxOTY4Mjc0MF5BMl5BanBnXkFtZTcwNTA4MDQyMw@@._V1_SX300.jpg,Won 2 Oscars. Another 58 wins & 91 nominations.,Tom Hanks. Tim Allen. Joan Cusack. Ned Beatty
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Comedy,1964,99%,N/A,https://m.media-amazon.com/images/M/MV5BZWI3ZTMxNjctMjdlNS00NmUwLWFiM2YtZDUyY2I3N2MxYTE0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,Nominated for 4 Oscars. Another 13 wins & 7 nominations.,Peter Sellers. George C. Scott. Sterling Hayden. Keenan Wynn
