name,birthday,profile,gender,movie_attended
Judy Garland,1922-06-10,/dkhMrLSfnqS3fmxWuXaEMwxN0Tf.jpg,female,The Wizard of Oz. Judgment at Nuremberg. Meet Me in St. Louis
Frank Morgan,1890-06-01,/wqZaxQOgxkBnfSP7i2OMbBAVMI9.jpg,male,The Wizard of Oz. The Shop Around the Corner. The Three Musketeers
Ray Bolger,1904-01-10,/wTSd4hMEVZpBwhLuM5Jd83XiBwb.jpg,male,The Wizard of Oz
Bert Lahr,1895-08-13,/xGKDj0icXH1y0KFAJOKoue3oxj5.jpg,male,The Wizard of Oz. That's Entertainment!
Joseph Cotten,1905-05-15,/sVtC9bc28Tsv9Dtk70jLE26fexd.jpg,male,Citizen Kane. The Third Man. Touch of Evil
Dorothy Comingore,1913-08-24,/oZCewbT89apDCvHvMHxYs9n8Llc.jpg,female,Citizen Kane. Mr. Smith Goes to Washington. Golden Boy
Agnes Moorehead,1900-12-06,/ajpbxYhFVcpGAGMnux9zCwzRYlo.jpg,female,Citizen Kane. Charlotte's Web
Ruth Warrick,1915-06-29,/rR1DouGmWeJl3tZ1rTEV9H2quzd.jpg,female,Citizen Kane. Song of the South
Daniel Kaluuya,1989-02-24,/24trqMr2PBwAmttp9X4F3ZErgt4.jpg,male,Black Panther. Get Out. Sicario
Allison Williams,1988-04-13,/nV53hIKRJxhKNZEgQi7xWxRHrj0.jpg,female,Get Out
Catherine Keener,1959-03-23,/tEBdqBUduF3dBcJcBeY5ffZ9MMu.jpg,female,Get Out. Into the Wild. Percy Jackson & the Olympians: The Lightning Thief
Bradley Whitford,1959-10-10,/9nHggJ5mvOSCa2Rn6WSTgQOWrJL.jpg,male,Get Out. The Cabin in the Woods. The Post
Tom Hardy,1977-09-15,/4CR1D9VLWZcmGgh4b6kKuY2NOel.jpg,male,Inception. Mad Max: Fury Road. The Dark Knight Rises. Passagem por Lisboa. The Devil Within
Charlize Theron,1975-08-07,/aHOB9UMgSI7MlXF3GMZaVQXqfQg.jpg,female,Mad Max: Fury Road. Prometheus. The Fate of the Furious
Nicholas Hoult,1989-12-07,/h1gXgpuXERZTVhxMdjT7uvXIyq6.jpg,male,Mad Max: Fury Road. X-Men: Days of Future Past. X-Men: First Class
Hugh Keays-Byrne,1947-05-18,/lhYUcPimMMy7Ltp58NkB3RuJzSv.jpg,male,Mad Max: Fury Road. Mad Max
Alida Valli,1921-05-31,/p2aBH2hXwNPjQGRNuMUfycku0Za.jpg,female,Suspiria. The Third Man. Eyes Without a Face
Orson Welles,1915-05-06,/k7a0gp3HKWT5uBmfirM74vackiV.jpg,male,Citizen Kane. Touch of Evil. The Lady from Shanghai
Trevor Howard,1913-09-29,/drj1FPryhAimWCiufEnMLzUxpBQ.jpg,male,Superman. Gandhi. The Third Man. White House Down. The Art of Being Straight. Danny Greene: The Rise and Fall of the Irishman
Mahershala Ali,1974-02-16,/waUvfhRSpVe4vk0hGVcsr0dhpK6.jpg,male,The Hunger Games: Mockingjay - Part 1. The Hunger Games: Mockingjay - Part 2. The Curious Case of Benjamin Button
Shariff Earp, , ,male,Moonlight
Duan Sanderson, , ,male,Moonlight. Acid Rain
Alex Hibbert, ,/rWUu41SSz4bTiphToue2BrAlqZv.jpg,male,Black Panther. Moonlight
Amy Poehler,1971-09-16,/uMGW762oDZbR8jhFJRImJ1ls5cd.jpg,female,Inside Out. Shrek the Third. Mean Girls
Phyllis Smith Altenhaus, , ,male,Video From Hell
Richard Kind,1956-11-22,/xpLufPiiFgoCEdIMqD4RY79PKGb.jpg,male,Inside Out. Toy Story 3. Cars
Bill Hader,1978-06-07,/8LiP5wHNq3QpwoARquhkGcPSgjM.jpg,male,Star Wars: The Force Awakens. Inside Out. Star Wars: The Last Jedi
Gal Gadot,1985-04-30,/hzt1aV8FzEJlUtiWtrGSHlcdGCx.jpg,female,Wonder Woman. Batman v Superman: Dawn of Justice. Fast & Furious 6
Chris Pine,1980-08-26,/vSe6sIsdtcoqBhuWRXynahFg8Vf.jpg,male,Wonder Woman. Star Trek. Star Trek Into Darkness
Connie Nielsen,1965-07-03,/lvQypTfeH2Gn2PTbzq6XkT2PLmn.jpg,female,Wonder Woman. Gladiator. Justice League
Robin Wright,1966-04-08,/tXfQTgcIEPP7gtVdJ44ZxZPhacn.jpg,female,Forrest Gump. Wonder Woman. Justice League
Bette Davis,1908-04-05,/oWGPnjrIxmGHklOGimoPwvIxBgQ.jpg,female,All About Eve. What Ever Happened to Baby Jane?. Death on the Nile
Anne Baxter,1923-05-07,/jOnJoazpO6q2vAVL37IQfzQbjav.jpg,female,All About Eve. The Ten Commandments
George Sanders,1906-07-03,/6fvK8vUTgSMRvuw77PjjuIOMl6.jpg,male,The Jungle Book. All About Eve. Rebecca. Good Tidings
Celeste Holm,1917-04-29,/3TWctkWuPrtiwjqkfSDjDFcMcx.jpg,female,All About Eve. High Society. Gentleman's Agreement
Dee Wallace,1948-12-14,/iEgXsPaNVK3ByosROC3zFu3gk7R.jpg,female,E.T. the Extra-Terrestrial. Halloween
Henry Thomas,1971-09-09,/6d3C0i9Dpc4T9BEjYUw3pbb4BlJ.jpg,male,E.T. the Extra-Terrestrial. Gangs of New York. Dear John
Peter Coyote,1941-10-10,/5zVvYZxE6T0OeL1iaFBBCzY3QOi.jpg,male,E.T. the Extra-Terrestrial. A Walk to Remember. Patch Adams
Robert MacNaughton,1966-12-19,/a02sMKmi3ke4tRviEldnKBAxqfO.jpg,male,E.T. the Extra-Terrestrial. Frankenstein vs. The Mummy
Alfred Abel,1879-03-12,/ci8PjtUFW1kuOXyhSSaGD1jyX50.jpg,male,Metropolis. Dr. Mabuse, the Gambler. Phantom
Gustav Fröhlich,1902-03-21,/z8fMRjarFtxAeLsI9rurs3v1R9D.jpg,male,Metropolis. Asphalt. Ray of Sunshine
Rudolf Klein-Rogge,1885-11-24,/fbP75fGfXFQlkf3Q5oHbJ4wjG1g.jpg,male,Metropolis. The Cabinet of Dr. Caligari. The Testament of Dr. Mabuse
Fritz Rasp,1891-05-13,/aOP2oF7HClXD2Is2RNKpQiOvEOw.jpg,male,Metropolis. Diary of a Lost Girl
Mark Ruffalo,1967-11-22,/z3dvKqMNDQWk3QLxzumloQVR0pv.jpg,male,The Avengers. Iron Man 3. Avengers: Age of Ultron
Michael Keaton,1951-09-05,/baeHNv3qrVsnApuKbZXiJOhqMnw.jpg,male,Spider-Man: Homecoming. Toy Story 3. Minions
Rachel McAdams,1978-11-17,/j7EhBy7O6IbCdcTlXFNKHYS5StH.jpg,female,Doctor Strange. Sherlock Holmes. Sherlock Holmes: A Game of Shadows
Liev Schreiber,1967-10-04,/qFn3npmqd1qaYOk6yohmi3FbPhc.jpg,male,X-Men Origins: Wolverine. Spotlight. The 5th Wave
Clark Gable,1901-02-01,/gz93WiNKWQzZ4RGOgyihE1qrISF.jpg,male,Gone with the Wind. It Happened One Night. The Misfits
Claudette Colbert,1903-09-13,/xDp3nOs14KvJNWIXL860RDEQKgI.jpg,female,It Happened One Night. The Palm Beach Story. Drums Along the Mohawk
Walter Connolly,1887-04-08,/mb832b3NGCavCnmrbVj9EJVOwwk.jpg,male,It Happened One Night. Libeled Lady. Twentieth Century
Roscoe Karns,1891-09-07,/8K65O6N0qtgus9cdvBIdfmAEKJ2.jpg,male,It Happened One Night. His Girl Friday. Wings
Charles S. Chaplin, , ,male,Strange Horizons
Paulette Goddard,1910-06-03,/8MuOzgtsI1PQUIlj2e2Y1UFLpTc.jpg,female,Modern Times. The Great Dictator. The Women
Henry Bergman,1868-02-23,/lXhkLU19RhgFD95zx84jjXhhyE.jpg,male,Modern Times. City Lights. The Kid
Tiny Sandford,1894-02-26,/4Tw4KnA3S8dhl9tIs2v9aa0Va1c.jpg,male,Modern Times. The Great Dictator. The Gold Rush
David Oyelowo,1976-04-01,/uhFLGQqNmhLgcqgITkoGoHy9FTl.jpg,male,Interstellar. Rise of the Planet of the Apes. Jack Reacher
Carmen Ejogo,1974-01-01,/yAiQAfxCAFw2SNIVpAePKXBvT58.jpg,female,Fantastic Beasts and Where to Find Them. Alien: Covenant. The Purge: Anarchy. Rattlesnake
Jim France, , ,male,Father Figures
Humphrey Bogart,1899-12-25,/pxJrZluJHhbWRo2QXAG99FvXUi7.jpg,male,Casablanca. The Maltese Falcon. Sabrina
Ingrid Bergman,1915-08-29,/x6LOGUWNHH3pRO8gOup68xPJL46.jpg,female,Casablanca. Notorious. Murder on the Orient Express. Cries and Whispers. The Magic Flute
Paul Henreid,1908-01-10,/mW3WfoX4JDZ6oRQqVA6hO5LSRUi.jpg,male,Casablanca. Exorcist II: The Heretic. Now, Voyager
Claude Rains,1889-11-10,/l8di3lovLqcJQ8gbHKJltQk5KvD.jpg,male,Casablanca. Lawrence of Arabia. Notorious
Marlon Brando,1924-04-03,/vklkhX4QlRKnEG8ylhWzoBdcuev.jpg,male,The Godfather. Apocalypse Now. Superman Returns
Al Pacino,1940-04-25,/vfbfcqINRHzXNTenycHIjNO6Va7.jpg,male,The Godfather. The Godfather: Part II. Scarface
